"ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter","Taxon","Assemblage","Group","z2","Stressor","cp","Class_allCP","Class_hiloCP"
0.4875,0.521,713,1,75.73,0.002,19.72,0.235475,0.25645,0.379,0.4925,0.498,1,1,19.7802284488914,1,"Achnanthidium","Diatom","Decreasers",-19.72,"TN",0.3795,"Sensitive","Other"
10.25,0.502,123,1,12.68,0.014,2.61,0.0377525,0.06181,0.4,0.959350000000003,4.105,0.894,0.958,3.70405867514605,0,"Adlafia","Diatom","Neither",2.61,"TN",NA,"Other","Other"
0,0.499,125,1,19.88,0.002,8.2,0.03125,0.065745,0.458,0.57,0.583,1,1,8.8975428286897,1,"Amphipleura","Diatom","Decreasers",-8.2,"TN",0.3795,"Sensitive","Other"
15,0.182,524,2,59.93,0.002,13.89,0.117,0.1295,0.17725,0.2225,0.2255,1,1,14.5875093612191,2,"Amphora","Diatom","Increasers",13.89,"TN",0.4415,"Tolerant","Other"
7.85,0.1755,137,1,15.2,0.004,3.7,0.0394675,0.06434,0.158,0.1995,0.729,0.877,0.991,4.32885689238804,0,"Aulacoseira","Diatom","Neither",3.7,"TN",NA,"Other","Other"
0.616,0.332,114,2,32.02,0.002,18.5,0.2225,0.229,0.423,0.6131,0.622075,1,1,19.1847476687807,2,"Bacillaria","Diatom","Increasers",18.5,"TN",0.4415,"Tolerant","Other"
0,1.055,230,1,29.84,0.002,6.54,0.4399,0.45945,0.74775,1.75,1.8,0.999,1,6.95781577610593,1,"Caloneis","Diatom","Decreasers",-6.54,"TN",0.3795,"Sensitive","Other"
15,0.622,706,1,56.76,0.002,5.28,0.0588325,0.2105,0.556,7.35,11,0.999,1,6.21936236226188,1,"Cocconeis","Diatom","Decreasers",-5.28,"TN",0.3795,"Sensitive","Other"
8.3,0.386,74,2,19.78,0.002,14.5,0.238,0.253,0.37875,0.7942,0.9368,1,1,14.8753796381717,2,"Craticula","Diatom","Increasers",14.5,"TN",0.4415,"Tolerant","Other"
15,0.3135,312,2,66.08,0.002,20.63,0.292,0.30295,0.339,0.578,0.6395,1,1,20.4533621205289,2,"Cyclotella","Diatom","Increasers",20.63,"TN",0.4415,"Tolerant","Other"
2.8,0.3615,214,1,25.05,0.002,5.46,0,0.058745,0.355,1.755,2.84,1,1,6.28988622931345,1,"Cymbella","Diatom","Decreasers",-5.46,"TN",0.3795,"Sensitive","Sensitive"
5.14,4.61,117,2,60.11,0.002,17.48,1.785,2.5245,3.7025,5.3,6,1,1,18.0917512359159,2,"Denticula","Diatom","Increasers",17.48,"TN",0.4415,"Tolerant","Tolerant"
6.25,0.1905,61,2,10.02,0.002,6.53,0.097,0.13465,0.223,1.004,6.3,1,1,7.46889154933384,2,"Diadesmis","Diatom","Increasers",6.53,"TN",0.4415,"Tolerant","Other"
0,0.128,270,1,40.22,0.002,13.54,0.0845925,0.095425,0.1305,0.219,0.222,1,1,14.1356534399439,1,"Diatoma","Diatom","Decreasers",-13.54,"TN",0.3795,"Sensitive","Sensitive"
0,1.81,106,1,14.12,0.008,2.82,0.0799,0.08899,0.3,1.77,1.8,0.559,0.996,3.85397413527403,0,"Diploneis","Diatom","Neither",2.82,"TN",NA,"Other","Other"
2.615,0.266,254,1,31.58,0.002,8.69,0.120975,0.135,0.1925,0.269,0.28,1,1,9.60800551527483,1,"Encyonema","Diatom","Decreasers",-8.69,"TN",0.3795,"Sensitive","Sensitive"
0,0,149,1,32.48,0.002,6.13,0,0,0,0.4535,0.46,1,1,6.88038367418886,1,"Encyonopsis","Diatom","Decreasers",-6.13,"TN",0.3795,"Sensitive","Sensitive"
3.2,3.2,310,2,61.76,0.002,12.18,0.223475,0.3382,2.92,3.4,4.35,1,1,12.6880324109513,2,"Eolimna","Diatom","Increasers",12.18,"TN",0.4415,"Tolerant","Tolerant"
0.386,0.34,339,1,54.22,0.002,17.73,0.1675,0.21095,0.34,0.398,0.418,1,1,17.9655132828211,1,"Epithemia","Diatom","Decreasers",-17.73,"TN",0.3795,"Sensitive","Sensitive"
0,0.2745,100,1,14.4,0.002,5.66,0.062295,0.09495,0.2615,0.3,0.3133,1,1,6.18101307974566,1,"Eunotia","Diatom","Decreasers",-5.66,"TN",0.3795,"Sensitive","Sensitive"
