Group,Subgroup,Genus_orig,References,Taxon,InTitan
Neurotoxin,Saxitoxin,Anagnostidinema,Greenwater Labs Training 2020,,FALSE
Taste and odor,Geosmin,Aphanizomenon,Greenwater Labs Training 2020,,FALSE
Taste and odor,Geosmin,Geitlerinema,Greenwater Labs Training 2020,,TRUE
Taste and odor,Geosmin,Leibleinia,Greenwater Labs Training 2020,,TRUE
Neurotoxin,Anatoxin,Aphanizomenon,Greenwater Labs Training 2020,,FALSE
Taste and odor,Geosmin,Phormidium,Greenwater Labs Training 2020,,TRUE
Neurotoxin,Saxitoxin,Aphanizomenon,Greenwater Labs Training 2020; EPA website,,FALSE
Hepatotoxin,Cylindrospermopsin,Aphanizomenon,Greenwater Labs Training 2020; EPA website,,FALSE
Taste and odor,Geosmin,Tychonema,Greenwater Labs Training 2020,,TRUE
Neurotoxin,Anatoxin,Arthrospira,Greenwater Labs Training 2020,,FALSE
Hepatotoxin,Microcystin,Arthrospira,Greenwater Labs Training 2020,,FALSE
Hepatotoxin,Cylindrospermopsin,Chrysoporum,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Anatoxin,Chrysosporum/Aphanizomenon,EPA website,,FALSE
Taste and odor,MIB,Phormidium,Greenwater Labs Training 2020,,TRUE
Neurotoxin,Anatoxin,Cuspidothrix,Greenwater Labs Training 2020; EPA website,,FALSE
Hepatotoxin,Microcystin,Cyanobium,Greenwater Labs Training 2020,,FALSE
Taste and odor,MIB,Tychonema,Greenwater Labs Training 2020,,TRUE
Neurotoxin,Anatoxin,Cylindrospermum,EPA website,,FALSE
Neurotoxin,Saxitoxin,Cylindrospermum,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Anatoxin,Anabaena,Greenwater Labs Training 2020; EPA website,,TRUE
Neurotoxin,Anatoxin,Dolichospermum,EPA website,,FALSE
Taste and odor,Geosmin,Dolichospermum,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Anatoxin,Dolichospermum,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Saxitoxin,Dolichospermum,Greenwater Labs Training 2020; EPA website,,FALSE
Hepatotoxin,Microcystin,Dolichospermum,Greenwater Labs Training 2020; EPA website,,FALSE
Hepatotoxin,Cylindrospermopsin,Dolichospermum,EPA website,,FALSE
Hepatotoxin,Microcystin,Fischerella,EPA website,,FALSE
Hepatotoxin,Microcystin,Gloeotrichia,Greenwater Labs Training 2020; EPA website,,FALSE
Hepatotoxin,Microcystin,Hapalosiphon,Greenwater Labs Training 2020,,FALSE
Hepatotoxin,Cylindrospermopsin,Hormoscilla,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Anatoxin,Phormidium,Greenwater Labs Training 2020; EPA website,,TRUE
Hepatotoxin,Nodularin,Iningainema,Greenwater Labs Training 2020,,FALSE
Taste and odor,MIB,Jaaginema,Greenwater Labs Training 2020,,FALSE
Hepatotoxin,Microcystin,Leptolyngbya,Greenwater Labs Training 2020,,TRUE
Hepatotoxin,Microcystin,Limnothrix,Greenwater Labs Training 2020,,FALSE
Neurotoxin,Saxitoxin,Lyngbya,EPA website,,FALSE
